method,frame_id,elapsed_sec,latency_ms,fps_inst,cpu_pct,ram_mb,detections
FlowerAI,27,27.12,200.0,5.0,367.1,133.16,0
FlowerAI,28,28.12,207.0393374741201,4.83,357.5,133.16,0
FlowerAI,29,29.18,225.22522522522522,4.44,349.1,133.16,1
FlowerAI,30,30.19,219.2982456140351,4.56,351.9,132.69,0
FlowerAI,31,31.19,205.76131687242798,4.86,372.7,132.81,0
FlowerAI,32,32.19,201.2072434607646,4.97,364.8,132.81,1
FlowerAI,33,33.2,209.643605870021,4.77,361.2,132.81,1
FlowerAI,34,34.2,218.34061135371178,4.58,356.3,132.81,1
FlowerAI,35,35.21,217.8649237472767,4.59,360.0,132.81,0
FlowerAI,36,36.21,194.9317738791423,5.13,377.8,132.81,1
FlowerAI,37,37.22,194.9317738791423,5.13,370.6,132.81,1
FlowerAI,38,38.22,200.40080160320642,4.99,366.7,132.81,0
FlowerAI,39,39.25,207.0393374741201,4.83,362.0,132.81,1
FlowerAI,40,40.26,213.67521367521368,4.68,351.2,132.81,0
FlowerAI,41,41.26,223.7136465324385,4.47,366.2,132.81,0
FlowerAI,42,42.26,201.2072434607646,4.97,370.7,132.81,0
FlowerAI,43,43.26,200.40080160320642,4.99,364.6,132.81,0
FlowerAI,44,44.28,215.51724137931035,4.64,357.6,132.81,0
FlowerAI,45,45.29,215.9827213822894,4.63,361.5,132.81,0
FlowerAI,46,46.33,201.61290322580646,4.96,374.0,132.81,0
FlowerAI,47,47.34,199.6007984031936,5.01,368.3,132.81,0
FlowerAI,48,48.34,212.7659574468085,4.7,358.9,132.81,0
FlowerAI,49,49.36,222.22222222222223,4.5,359.4,132.81,1
FlowerAI,50,50.36,201.2072434607646,4.97,367.1,132.81,1
FlowerAI,51,51.36,201.2072434607646,4.97,375.7,132.81,1
FlowerAI,52,52.4,194.17475728155338,5.15,366.7,132.81,1
FlowerAI,53,53.4,206.61157024793388,4.84,365.7,132.81,0
FlowerAI,54,54.41,207.90020790020793,4.81,360.6,132.81,1
FlowerAI,55,55.41,213.21961620469082,4.69,364.5,132.81,0
FlowerAI,56,56.41,198.80715705765405,5.03,369.6,132.81,0
FlowerAI,57,57.42,204.91803278688525,4.88,363.8,132.81,1
FlowerAI,58,58.42,210.0840336134454,4.76,358.5,132.81,0
FlowerAI,59,59.42,217.8649237472767,4.59,359.0,132.81,0
FlowerAI,60,60.42,202.8397565922921,4.93,372.7,132.81,0
FlowerAI,61,61.45,202.02020202020202,4.95,368.5,132.81,1
FlowerAI,62,62.45,208.76826722338205,4.79,356.5,132.81,1
FlowerAI,63,63.45,227.27272727272725,4.4,357.1,132.81,0
FlowerAI,64,64.45,223.7136465324385,4.47,354.2,132.74,1
FlowerAI,65,65.45,212.31422505307856,4.71,364.5,132.74,1
FlowerAI,66,66.45,212.31422505307856,4.71,375.6,132.74,1
FlowerAI,67,67.46,197.2386587771203,5.07,372.6,132.74,2
FlowerAI,68,68.46,200.0,5.0,363.6,132.74,0
FlowerAI,69,69.46,216.91973969631235,4.61,358.9,132.74,0
FlowerAI,70,70.46,223.2142857142857,4.48,348.4,132.74,0
FlowerAI,71,71.47,232.01856148491882,4.31,367.4,132.74,0
FlowerAI,72,72.47,202.8397565922921,4.93,368.5,132.74,0
FlowerAI,73,73.47,225.22522522522522,4.44,357.6,132.74,0
KeyPoints-ResNet50,0,,29078.9,0.0,0.0,840.79296875,2
KeyPoints-ResNet50,1,,29078.9,0.0,0.0,840.79296875,2
KeyPoints-ResNet50,2,,30614.0,0.9,0.0,813.92578125,1
KeyPoints-ResNet50,3,,30614.0,0.9,0.0,813.92578125,1
KeyPoints-ResNet50,4,,28627.3,0.48,0.0,876.140625,0
KeyPoints-ResNet50,5,,28627.3,0.48,0.0,876.140625,0
KeyPoints-ResNet50,6,,28313.4,0.96,0.0,876.19921875,0
KeyPoints-ResNet50,7,,28313.4,0.96,0.0,876.19921875,0
KeyPoints-ResNet50,8,,28408.3,0.96,0.0,876.2109375,0
KeyPoints-ResNet50,9,,28408.3,0.96,0.0,876.2109375,0
KeyPoints-ResNet50,10,,28304.2,0.5,0.0,827.28515625,0
KeyPoints-ResNet50,11,,28304.2,0.5,0.0,827.28515625,0
